condition,stat,constant,direction,state,p
Dark room,Mean,-5,Positive,0,0.5264197015825987
Dark room,Mean,-5,Positive,1,0.5090249281522465
Dark room,Mean,-5,Positive,2,0.5137050729631296
Dark room,Mean,-5,Positive,3,0.6393054420048536
Dark room,Mean,-5,Positive,4,0.35017186501178366
Dark room,Mean,-5,Positive,5,0.4635658933047322
Dark room,Mean,-5,Positive,6,0.49967403783070247
Dark room,Mean,-5,Positive,7,0.4854299078305961
Dark room,Mean,-5,Positive,8,0.4861660691814888
Dark room,Mean,-5,Positive,9,0.5116729697528566
Dark room,Mean,-5,Positive,10,0.5075045606227117
Dark room,Mean,-5,Positive,11,0.5246698079592832
Dark room,Mean,-5,Negative,0,0.4626682412163193
Dark room,Mean,-5,Negative,1,0.3164194353677305
Dark room,Mean,-5,Negative,2,0.46221613713347015
Dark room,Mean,-5,Negative,3,0.14958026715603856
Dark room,Mean,-5,Negative,4,0.6153634527398827
Dark room,Mean,-5,Negative,5,0.5249409654942389
Dark room,Mean,-5,Negative,6,0.49024276877854267
Dark room,Mean,-5,Negative,7,0.501925681591356
Dark room,Mean,-5,Negative,8,0.5085362597203306
Dark room,Mean,-5,Negative,9,0.48036507904236947
Dark room,Mean,-5,Negative,10,0.48389254785758157
Dark room,Mean,-5,Negative,11,0.4438068147202109
Dark room,Mean,-4,Positive,0,0.5273909467060452
Dark room,Mean,-4,Positive,1,0.5036160933985204
Dark room,Mean,-4,Positive,2,0.5142103644163388
Dark room,Mean,-4,Positive,3,0.6348286114545026
Dark room,Mean,-4,Positive,4,0.3137091657255354
Dark room,Mean,-4,Positive,5,0.4543906066963519
Dark room,Mean,-4,Positive,6,0.5001823621761178
Dark room,Mean,-4,Positive,7,0.4873354705734793
Dark room,Mean,-4,Positive,8,0.48240262657602295
Dark room,Mean,-4,Positive,9,0.5144238021151986
Dark room,Mean,-4,Positive,10,0.5131231773570747
Dark room,Mean,-4,Positive,11,0.5242005477371731
Dark room,Mean,-4,Negative,0,0.4567840562540633
Dark room,Mean,-4,Negative,1,0.2876626317018457
Dark room,Mean,-4,Negative,2,0.45129780312816414
Dark room,Mean,-4,Negative,3,0.11581452443375441
Dark room,Mean,-4,Negative,4,0.6364557900344423
Dark room,Mean,-4,Negative,5,0.5298704375235016
Dark room,Mean,-4,Negative,6,0.48684916732119454
Dark room,Mean,-4,Negative,7,0.4966161910703047
Dark room,Mean,-4,Negative,8,0.5102320583521551
Dark room,Mean,-4,Negative,9,0.4740674856569741
Dark room,Mean,-4,Negative,10,0.4747128030466508
Dark room,Mean,-4,Negative,11,0.4262732810308095
Dark room,Mean,-3,Positive,0,0.5253828735578016
Dark room,Mean,-3,Positive,1,0.49826388033181573
Dark room,Mean,-3,Positive,2,0.5185262060369137
Dark room,Mean,-3,Positive,3,0.6354111395005272
Dark room,Mean,-3,Positive,4,0.2860154558758843
Dark room,Mean,-3,Positive,5,0.44598025524272455
Dark room,Mean,-3,Positive,6,0.5003898909672061
Dark room,Mean,-3,Positive,7,0.4818285532097106
Dark room,Mean,-3,Positive,8,0.47998253044267813
Dark room,Mean,-3,Positive,9,0.5184082194400209
Dark room,Mean,-3,Positive,10,0.5151382486783636
Dark room,Mean,-3,Positive,11,0.5210064873421382
Dark room,Mean,-3,Negative,0,0.45513747554490436
Dark room,Mean,-3,Negative,1,0.26802891294710957
Dark room,Mean,-3,Negative,2,0.4360001554784842
Dark room,Mean,-3,Negative,3,0.09692750770207341
