term,corr,state,freq
temporal,0.27,0,alpha
temporal gyrus,0.267,0,alpha
superior temporal,0.249,0,alpha
comprehension,0.235,0,alpha
listening,0.231,0,alpha
speech,0.228,0,alpha
auditory,0.227,0,alpha
sentences,0.224,0,alpha
language,0.221,0,alpha
middle temporal,0.215,0,alpha
sounds,0.209,0,alpha
speaker,0.206,0,alpha
linguistic,0.205,0,alpha
spoken,0.204,0,alpha
sts,0.199,0,alpha
superior,0.199,0,alpha
sentence,0.199,0,alpha
temporal sulcus,0.195,0,alpha
acoustic,0.193,0,alpha
listened,0.191,0,alpha
speech perception,0.187,0,alpha
semantic,0.185,0,alpha
temporale,0.174,0,alpha
planum temporale,0.174,0,alpha
audiovisual,0.173,0,alpha
syntactic,0.173,0,alpha
auditory cortex,0.169,0,alpha
voice,0.168,0,alpha
music,0.168,0,alpha
sulcus sts,0.167,0,alpha
planum,0.166,0,alpha
language comprehension,0.166,0,alpha
sound,0.166,0,alpha
posterior middle,0.165,0,alpha
gyrus stg,0.161,0,alpha
musical,0.157,0,alpha
modality,0.152,0,alpha
primary auditory,0.146,0,alpha
heard,0.145,0,alpha
gyrus,0.144,0,alpha
anterior superior,0.144,0,alpha
anterior temporal,0.142,0,alpha
posterior temporal,0.141,0,alpha
hearing,0.139,0,alpha
integration,0.138,0,alpha
heschl,0.136,0,alpha
heschl gyrus,0.135,0,alpha
auditory visual,0.134,0,alpha
language network,0.133,0,alpha
auditory stimuli,0.132,0,alpha
lexical,0.131,0,alpha
phonological,0.131,0,alpha
posterior superior,0.13,0,alpha
vocal,0.128,0,alpha
fronto temporal,0.124,0,alpha
pitch,0.122,0,alpha
theory mind,0.121,0,alpha
words,0.12,0,alpha
noise,0.118,0,alpha
temporal cortex,0.118,0,alpha
temporal gyri,0.118,0,alpha
visual auditory,0.116,0,alpha
inferior frontal,0.115,0,alpha
mind tom,0.113,0,alpha
verbs,0.112,0,alpha
pole,0.112,0,alpha
temporal frontal,0.107,0,alpha
tom,0.106,0,alpha
temporal pole,0.106,0,alpha
mind,0.104,0,alpha
production,0.102,0,alpha
lateralized,0.101,0,alpha
hemisphere,0.101,0,alpha
psts,0.097,0,alpha
mental states,0.097,0,alpha
social,0.096,0,alpha
mtg,0.096,0,alpha
word,0.094,0,alpha
sentence comprehension,0.092,0,alpha
medial prefrontal,0.091,0,alpha
speech production,0.091,0,alpha
inferior,0.09,0,alpha
broca,0.089,0,alpha
theory,0.089,0,alpha
frontal gyrus,0.084,0,alpha
verb,0.078,0,alpha
perception,0.078,0,alpha
reading,0.077,0,alpha
temporal lobes,0.077,0,alpha
english,0.076,0,alpha
sensory,0.075,0,alpha
speaking,0.075,0,alpha
articulatory,0.074,0,alpha
mpfc,0.074,0,alpha
mentalizing,0.074,0,alpha
tone,0.072,0,alpha
written,0.071,0,alpha
speakers,0.067,0,alpha
lateral temporal,0.066,0,alpha
languages,0.064,0,alpha
medial,0.064,0,alpha
multisensory,0.064,0,alpha
read,0.063,0,alpha
cortex mpfc,0.062,0,alpha
self referential,0.062,0,alpha
musicians,0.06,0,alpha
posterior anterior,0.06,0,alpha
anterior,0.059,0,alpha
unimodal,0.058,0,alpha
repetition,0.057,0,alpha
dorsomedial,0.056,0,alpha
referential,0.056,0,alpha
person,0.055,0,alpha
medial pfc,0.054,0,alpha
autobiographical,0.053,0,alpha
posterior,0.053,0,alpha
concrete,0.052,0,alpha
abstract,0.052,0,alpha
natural,0.052,0,alpha
frontal,0.052,0,alpha
sii,0.051,0,alpha
superior middle,0.05,0,alpha
temporal lobe,0.05,0,alpha
social cognitive,0.048,0,alpha
pseudowords,0.048,0,alpha
decoding,0.048,0,alpha
cortices,0.046,0,alpha
social cognition,0.046,0,alpha
dorsomedial prefrontal,0.046,0,alpha
lateralization,0.045,0,alpha
passive,0.045,0,alpha
silent,0.045,0,alpha
reappraisal,0.045,0,alpha
gyrus superior,0.045,0,alpha
temporo,0.044,0,alpha
acc,0.044,0,alpha
sequences,0.044,0,alpha
streams,0.043,0,alpha
frontal temporal,0.043,0,alpha
temporo parietal,0.043,0,alpha
ifg,0.043,0,alpha
orbitofrontal cortex,0.043,0,alpha
word form,0.042,0,alpha
cortex vmpfc,0.041,0,alpha
conceptual,0.041,0,alpha
cingulate cortex,0.04,0,alpha
orbitofrontal,0.04,0,alpha
cortex acc,0.04,0,alpha
vmpfc,0.04,0,alpha
lobes,0.04,0,alpha
supramarginal,0.039,0,alpha
tactile,0.039,0,alpha
prefrontal,0.039,0,alpha
anterior cingulate,0.039,0,alpha
stimulation,0.039,0,alpha
temporoparietal,0.039,0,alpha
temporoparietal junction,0.039,0,alpha
discriminative,0.038,0,alpha
ventromedial,0.038,0,alpha
moral,0.038,0,alpha
temporal inferior,0.038,0,alpha
beliefs,0.038,0,alpha
emotional,0.037,0,alpha
ventromedial prefrontal,0.037,0,alpha
gyrus ifg,0.037,0,alpha
lateral orbitofrontal,0.036,0,alpha
operculum,0.036,0,alpha
empathic,0.036,0,alpha
core,0.036,0,alpha
aphasia,0.036,0,alpha
semantically,0.036,0,alpha
pfc,0.035,0,alpha
cognition,0.035,0,alpha
cingulate,0.035,0,alpha
vlpfc,0.035,0,alpha
insula,0.034,0,alpha
posterior insula,0.034,0,alpha
visually presented,0.034,0,alpha
conflicting,0.033,0,alpha
intentions,0.033,0,alpha
si,0.033,0,alpha
construction,0.033,0,alpha
judgment,0.032,0,alpha
fluency,0.032,0,alpha
secondary somatosensory,0.032,0,alpha
prefrontal cortex,0.032,0,alpha
semantics,0.032,0,alpha
concepts,0.032,0,alpha
ofc,0.031,0,alpha
somatosensory cortices,0.031,0,alpha
valence,0.031,0,alpha
nouns,0.031,0,alpha
cortex ofc,0.031,0,alpha
angular gyrus,0.03,0,alpha
thinking,0.03,0,alpha
visual word,0.03,0,alpha
belief,0.03,0,alpha
cross modal,0.029,0,alpha
ambiguous,0.029,0,alpha
social interactions,0.029,0,alpha
experiences,0.029,0,alpha
naming,0.029,0,alpha
bilinguals,0.028,0,alpha
empathy,0.028,0,alpha
mental state,0.028,0,alpha
personal,0.028,0,alpha
dmpfc,0.027,0,alpha
naturalistic,0.027,0,alpha
painful,0.027,0,alpha
dyslexia,0.027,0,alpha
electrical,0.027,0,alpha
pain,0.026,0,alpha
negative neutral,0.026,0,alpha
frontotemporal,0.026,0,alpha
semantic memory,0.025,0,alpha
mood,0.025,0,alpha
pars,0.025,0,alpha
inference,0.024,0,alpha
retrieval,0.024,0,alpha
ba 44,0.024,0,alpha
sulcus,0.024,0,alpha
supramarginal gyrus,0.024,0,alpha
social interaction,0.024,0,alpha
ventrolateral,0.024,0,alpha
insular cortex,0.024,0,alpha
cortex pfc,0.023,0,alpha
word recognition,0.023,0,alpha
paralimbic,0.023,0,alpha
primary secondary,0.023,0,alpha
middle superior,0.023,0,alpha
junction,0.023,0,alpha
rostral anterior,0.022,0,alpha
integrated,0.022,0,alpha
resting,0.022,0,alpha
