condition,stat,constant,direction,state,p
Dark room,Mean,-5,Positive,0,0.5322944356235177
Dark room,Mean,-5,Positive,1,0.42546794058158127
Dark room,Mean,-5,Positive,2,0.42777920485604215
Dark room,Mean,-5,Positive,3,0.5362881322155758
Dark room,Mean,-5,Positive,4,0.02726706469456604
Dark room,Mean,-5,Positive,5,0.15453498851697145
Dark room,Mean,-5,Positive,6,0.30842467118050343
Dark room,Mean,-5,Positive,7,0.22170146353278392
Dark room,Mean,-5,Positive,8,0.3649289053190236
Dark room,Mean,-5,Positive,9,0.4952149711859512
Dark room,Mean,-5,Positive,10,0.57000446750448
Dark room,Mean,-5,Positive,11,0.47596868349818844
Dark room,Mean,-5,Negative,0,0.28184768157071766
Dark room,Mean,-5,Negative,1,0.21186883366131617
Dark room,Mean,-5,Negative,2,0.13160951151567965
Dark room,Mean,-5,Negative,3,0.01582678764962481
Dark room,Mean,-5,Negative,4,0.6031730528350504
Dark room,Mean,-5,Negative,5,0.542342042051808
Dark room,Mean,-5,Negative,6,0.3326106633623233
Dark room,Mean,-5,Negative,7,0.520234784720169
Dark room,Mean,-5,Negative,8,0.4173896283377508
Dark room,Mean,-5,Negative,9,0.25682305221022106
Dark room,Mean,-5,Negative,10,0.19272629281110698
Dark room,Mean,-5,Negative,11,0.09369429762715942
Dark room,Mean,-4,Positive,0,0.5237573244561465
Dark room,Mean,-4,Positive,1,0.4353049651891404
Dark room,Mean,-4,Positive,2,0.4250788252760028
Dark room,Mean,-4,Positive,3,0.5256553300952239
Dark room,Mean,-4,Positive,4,0.02707277644174436
Dark room,Mean,-4,Positive,5,0.15189648184199128
Dark room,Mean,-4,Positive,6,0.28637987080283095
Dark room,Mean,-4,Positive,7,0.2252769889682432
Dark room,Mean,-4,Positive,8,0.34488929028501697
Dark room,Mean,-4,Positive,9,0.5033427942808842
Dark room,Mean,-4,Positive,10,0.5641351212607993
Dark room,Mean,-4,Positive,11,0.4779861245495937
Dark room,Mean,-4,Negative,0,0.2679707354806019
Dark room,Mean,-4,Negative,1,0.20235097830030657
Dark room,Mean,-4,Negative,2,0.13155613074659828
Dark room,Mean,-4,Negative,3,0.015472598498985248
